Year,OPRHP Region,County,Facility,Attendance
2020,Finger Lakes,Tompkins,Allan Treman Marina,341963
2019,Finger Lakes,Tompkins,Allan Treman Marina,355313
2018,Finger Lakes,Tompkins,Allan Treman Marina,291507
2017,Finger Lakes,Tompkins,Allan Treman Marina,311260
2016,Finger Lakes,Tompkins,Allan Treman Marina,318309
2015,Finger Lakes,Tompkins,Allan Treman Marina,266112
2014,Finger Lakes,Tompkins,Allan Treman Marina,210543
2013,Finger Lakes,Tompkins,Allan Treman Marina,292200
2012,Finger Lakes,Tompkins,Allan Treman Marina,162986
2011,Finger Lakes,Tompkins,Allan Treman Marina,172579
2010,Finger Lakes,Tompkins,Allan Treman Marina,205460
2009,Finger Lakes,Tompkins,Allan Treman Marina,184372
2008,Finger Lakes,Tompkins,Allan Treman Marina,160923
2007,Finger Lakes,Tompkins,Allan Treman Marina,153700
2006,Finger Lakes,Tompkins,Allan Treman Marina,176102
2005,Finger Lakes,Tompkins,Allan Treman Marina,162478
2004,Finger Lakes,Tompkins,Allan Treman Marina,132838
2003,Finger Lakes,Tompkins,Allan Treman Marina,145622
2020,Allegany,Cattaraugus,Allegany Quaker Area,703521
2019,Allegany,Cattaraugus,Allegany Quaker Area,802727
2018,Allegany,Cattaraugus,Allegany Quaker Area,797641
2017,Allegany,Cattaraugus,Allegany Quaker Area,781567
2016,Allegany,Cattaraugus,Allegany Quaker Area,789045
2015,Allegany,Cattaraugus,Allegany Quaker Area,736589
2014,Allegany,Cattaraugus,Allegany Quaker Area,711217
2013,Allegany,Cattaraugus,Allegany Quaker Area,711264
2012,Allegany,Cattaraugus,Allegany Quaker Area,709512
2011,Allegany,Cattaraugus,Allegany Quaker Area,632478
2010,Allegany,Cattaraugus,Allegany Quaker Area,707369
2009,Allegany,Cattaraugus,Allegany Quaker Area,781833
2008,Allegany,Cattaraugus,Allegany Quaker Area,787724
2007,Allegany,Cattaraugus,Allegany Quaker Area,766206
2006,Allegany,Cattaraugus,Allegany Quaker Area,700411
2005,Allegany,Cattaraugus,Allegany Quaker Area,703380
2004,Allegany,Cattaraugus,Allegany Quaker Area,719567
2003,Allegany,Cattaraugus,Allegany Quaker Area,666515
2020,Allegany,Cattaraugus,Allegany Red House Area,665081
2019,Allegany,Cattaraugus,Allegany Red House Area,718483
2018,Allegany,Cattaraugus,Allegany Red House Area,712217
2017,Allegany,Cattaraugus,Allegany Red House Area,730926
2016,Allegany,Cattaraugus,Allegany Red House Area,715179
2015,Allegany,Cattaraugus,Allegany Red House Area,750751
2014,Allegany,Cattaraugus,Allegany Red House Area,686068
2013,Allegany,Cattaraugus,Allegany Red House Area,790645
2012,Allegany,Cattaraugus,Allegany Red House Area,729189
2011,Allegany,Cattaraugus,Allegany Red House Area,717013
2010,Allegany,Cattaraugus,Allegany Red House Area,728728
2009,Allegany,Cattaraugus,Allegany Red House Area,748255
2008,Allegany,Cattaraugus,Allegany Red House Area,785967
2007,Allegany,Cattaraugus,Allegany Red House Area,800376
2006,Allegany,Cattaraugus,Allegany Red House Area,776633
2005,Allegany,Cattaraugus,Allegany Red House Area,755990
2004,Allegany,Cattaraugus,Allegany Red House Area,761212
2003,Allegany,Cattaraugus,Allegany Red House Area,754291
2020,Long Island,Suffolk,Amsterdam Beach,22215
2019,Long Island,Suffolk,Amsterdam Beach,13860
2018,Long Island,Suffolk,Amsterdam Beach,14994
2017,Long Island,Suffolk,Amsterdam Beach,12000
2020,Palisades,Orange/Rockland,Anthony Wayne,79451
2019,Palisades,Orange/Rockland,Anthony Wayne,83463
2018,Palisades,Rockland,Anthony Wayne,70411
2017,Palisades,Rockland,Anthony Wayne,89048
2016,Palisades,Rockland,Anthony Wayne,72286
2015,Palisades,Rockland,Anthony Wayne,102455
2014,Palisades,Rockland,Anthony Wayne,47025
2013,Palisades,Rockland,Anthony Wayne,168928
2012,Palisades,Rockland,Anthony Wayne,457338
2011,Palisades,Rockland,Anthony Wayne,386872
2010,Palisades,Rockland,Anthony Wayne,360706
2009,Palisades,Rockland,Anthony Wayne,365502
2008,Palisades,Rockland,Anthony Wayne,433075
2007,Palisades,Rockland,Anthony Wayne,722200
2006,Palisades,Rockland,Anthony Wayne,1291177
2005,Palisades,Rockland,Anthony Wayne,1384785
2004,Palisades,Rockland,Anthony Wayne,1365494
2003,Palisades,Rockland,Anthony Wayne,1279072
2020,Palisades,Orange/Rockland,Appalachian Trail,26219
2019,Palisades,Orange/Rockland,Appalachian Trail,16146
2018,Palisades,Dutchess/Orange/Putnam/Rockland,Appalachian Trail,17199
2017,Palisades,Dutchess/Orange/Putnam/Rockland,Appalachian Trail,17404
2016,Palisades,Dutchess/Orange/Putnam/Rockland,Appalachian Trail,17009
2015,Palisades,Dutchess/Orange/Putnam/Rockland,Appalachian Trail,12683
2014,Palisades,Dutchess/Orange/Putnam/Rockland,Appalachian Trail,8514
2013,Palisades,Dutchess/Orange/Putnam/Rockland,Appalachian Trail,5516
